ID,CTF,Previous CTF?,Hands-on helpful,Hands-on learn CS,Hands-on learn CSec,Experience,Instruction Set,Completion,Thought process,Time spent,Better understanding w/ other approach?,Difficulty rating,Familiarity,RSA theory understanding improvement,RSA implementation understanding improvement,RE understanding Improvement,More guidance (short)?,More guidance?,Less guidance?,Changes?,Likes/Dislikes
8,CC,y,y,y,y,A lot of guidance and steps were given to make us familiar with the material. It helped in a deeper understanding of the topic,2,User 1,x,2,n,3,Very basic theory based knowledge and no hands on experience,slight,slight,x,n,No,"Yes, would'nt have been able to learn this much","No, I found the challenge to be the right level of instructive and challenging.",Fun activity and gives opportunity to learn
7,CC,y,y,y,y,"Yes, I've used hands-on activities to learn cybersecurity topics in the subject System Defense and Test. I was not very familiar with the material being taught. The activity was an assignment which came with complete set of instructions that walked one through all steps involved in pen testing. Yes, the activity was definitely an effective way to utilize the time and also helped improve my understanding of the topic. ",2,Yes,x,7,n,3,I had a very basic understanding of some of the theoretical aspects of RSA and public key cryptography before working on this activity.  ,great,great,x,n,I feel the current set of instructions were sufficient and more guidance would have reduced my learning.,I feel the current set of instructions were apt and less guidance would have resulted in me spending more time and feeling more lost.,"No, I found the challenge to be the right level of instructive and challenging.",I liked that it refreshed my memory about RSA and public key cryptography.
1,GB,y,y,y,y,"For my job I had to use some reverse engineering to figure out how a piece of perl code in our company worked, in order to add to it (making sure all data being sent over the internal network used TLS). I was relatively new to both topics, and my main guidance was a beginner's perl book and countless resources online about TLS encryption. I thought the hands on experience really solidified the knowledge I had read, and greatly improved my understanding of how TLS works. The project took longer than it probably would have if I had more guidance, but I think it was an effective use of my time because I learned so much along the way.",0,Got PW,"I connected to the FTP server using the ftp program on our Kali linux VM. I started by trying to figure out what user to connect as. I looked at the source code on github, starting at the main program pytfpd.py, and used the different messages I received in response to my login attempts to figure out which configuration files were being loaded for authentication. I used this to determine that logging in as ""ftp"" or ""anonymous"" worked, as long as the password/email field contained the ""@"" character. I also used the different message replies to determine that there was only 1 accepted user account with a password, called admin. I found the admin password hash under the file auth_db_config.py and determined from auth_db_module.py that it was a base64 encoded md5 hash. This info helped me crack the password (""reverseengineering"") - while I could have used a tool like John the Ripper I was lazy and just searched it on an online site (crackstation.net). However I got stuck after this point. Every time I tried to issue a command as either admin, ftp, or anonymous, I got the reply ""your dataport sucks big time!"" which I determined from pyftpd.py was a result of a socket error. I suspect this is due to the FTP server being behind the SSH gateway server. So I tried passive mode, since this was hinted at in the link provided in my initial instructions regarding how to connect. Since the chosen port in passive mode was static, I thought I'd be able to forward the port (p1*256 + p2) through SSH, but I think my FTP client was always trying to reach out to 172.20.29.2 and not localhost, as all my connection attempts timed out. So I could never run any commands after logging in",3,n,3,"I am reasonably familiar with reverse engineering - there have been multiple times in my job that I have been tasked with trying to figure out how a piece of code works. For example, I've needed to debug or add to code written by former employees at my job. I have also downloaded open source software and reverse engineered some of it in order to both understand it and occasionally tweak it to cater to my specific needs   ",x,x,none,y,"I  think more guidance on how to properly connect to the FTP server would have helped me solve the challenge. I did not find the link provided very helpful at all, and never figured out how to properly configure the data port over the SSH port forwarding. I felt I spent way more time working on this issue than on reverse engineering the code. In regards to the reverse engineering, I think this amount of guidance was perfect. There is a lot of code to sift through, and while being pointed in the right direction would have been faster I think it was valuable to have to start with limited direction and figure things out from scratch. ","I did not think the provided links in my instruction set were particularly more helpful than a basic google search on FTP, so I think having less guidance would not have changed the experience at all.","I think more instruction on how to actually connect to an FTP server through SSH port forwarding would have been helpful. I wasn't even sure what client-side program to use. I tried Filezilla on Mac and the FTP client on our Kali Linux, both both had the same problem with the data port. ","I really liked having all the source code available and getting to trace my commands in the program and ""play detective"".  I did not like having to figure out how to interact with the program and set up the port forwarding, as I felt I wasted a lot of time figuring out how to connect instead of the intended challenge of reverse engineering the program."
10,GB,y,y,y,y,"It was with Open SSL cryptography. I had no prior experience to it, and was not familiar with its tools. Only knowledge was a general knowledge of cryptographic methods. There was plenty of guidance as it gave many sources to aid our understanding of the tool. It was completed as a lab on our own time. It was a very effective utilization of the time, and helped me improve my knowledge on the topic because we had a real hands-on example of how to encrypt then decrypt messages.",0,None,I got stuck once I connected to swarm and the address/port. Could not access the files as defined within the CTF directions on my local host.,0.75,y,5,I have no prior experience with reverse engineering,x,x,none,y,"Generally I think more guidance would have been helpful (to the extent I did this problem). Although my issue is more technical issues preventing me from doing this problem. Generally I'd like the guidance so that I know where to look and how one should approach reverse engineering, and then I would do the reverse engineering myself.","Based on what's been given in the directions, it would seem to me that it would be a significantly more difficult task.",Just more guidance and at least more input on how we should approach reverse engineering. Perhaps there can be supplemental material for the pyftp,"I think the concept is interesting for reverse engineering. Although I wasn't sure how to go about traversing the pyftp to get to final solution, especially in how to actually find a security vulnerability (especially for someone with no experience of reverse engineering a program)."
11,GB,n,n,n,y,"I have had no experience with cybersecurity topics prior to this class. The assignments for this class gave lots of guidance. The start of the assignments were very clear with their instructions on how to use certain tools. As we continued in the semester, the instructions became less clear and expected results more ambiguous. These were completed as an assignment during my own time. This activity was an effective way to utilize my time. However, if I was busy or stressed, the guidance from earlier assignment became a crutch and I ended up rushing to complete the assignment rather than really comprehend the material. These assignments did help my understanding of these topics.",0,Got hash,First I tried setting up Wireshark to view the FTP data packets going back and forth to maybe see some hint as to how pyftpd could be vulnerable. Then I tried combing through the source code. I started with the main file pyftpd.py. I tried following along with the code as I inputted separate commands. I found the anonymous_auth module and was able to log in as an anonymous user. However from here I got stuck. I think I needed to crack the MD5 hashes of the passwords stored in the auth_db_config.py file. But I couldn't figure out how to move forward from this point.,,y,4,I have no experience with reverse engineering,x,x,none,y, I think it would have greatly improved my understanding. I was not sure what approach to take and looking at existing CTFs online that dealt with reverse engineering did not help since reverse engineering is pretty specific to the program you are trying to reverse engineer.,I think it would not have changed given my already non-existent understanding of reverse engineering.,I think more guidance would have improved my learning. It would have been easier to approach with more of a jumping off point and more inviting. I became very discouraged after only the first hour.,I liked reading through the source code and being able to follow around the logic flow. I disliked the lack of guidance.
3,GB,y,y,y,y,"For Computer Science I used hands on learning experience while learning GCP and AutoML. Google has labs and documentation to learn those. I was not familiar with either, I just knew the basics of which tab does what. The step-by-step instructions helped me explore once I knew what I was doing as the tasks in labs had detailed explanation. Doing hands-on lab works better for me otherwise I get saturated. And, yes I feel hands-on lab is better utilization of time alongside basic knowledge. Would not suggest  without any background else my confidence goes down. To learn cybersecurity topics solving CTFs this semester in class were extremely useful. Got to learn about tools I was otherwise unaware of. Plus got to learn about similar tools and explore.",0,None,I have never solved reverse engineering CTFs and I got stuck somewhere understanding the code given the limited time I invested. And I had trouble understanding instruction.,2,y,4,I was familiar with what Reverse Engineering is but never really applied it solve (or break) anything.,x,x,great,y,It would have improved my understanding more. I liked this challenge.,I don't think I would have developed any interest with even lesser guidance.,I hoped for more instruction and guidance.,"I liked the challenge itself, using Reverse Engineering. But I would have liked more instructions about how to approach."
2,GB,y,y,y,y,"Usually I had been taught the materil in lecture prior, so I had some base level understanding. Some CS classes very little guidance and others (especially earlier classes) were heavily guided. Some were completed in a lab setting and some as an assignment. I feel the most useful hands-on activities are introduced with theory in class with optional resources provided on syntax or tools. A clear goal is always necassary and for larger projects, some recommended steps could be useful. I feel in computer science, hands on activities are incredibly important in understanding a topic. I personally learn the most by doing and would be quite lost on exams etc. without hands on projects",1,got hash,"I spent about an hour on this then had to do this survey. From my notes, I looked in pyftpd.py. I figured I would need to get into the system some how so I looked at the cmd_pass method to see if I could crack a password. This let me to the got_pass method which had an interesting loop with authmethods. I couldn't make sense of it so then I looked for the error that shows up on a bad password ""530 Bad password."" I don't see this error in pyftpd.py. Back in the orriginal structure I see a file named passwd with what looks like username and password combinations. I tried those, did not work. Then I saw abouch of files labeled auth_db... with a README that explains the files with passwords have MD5 hashes and that they run through a file named conf_auth_db.py. that is as far as I got to finding the passwords",1,y,3,I use reverse engineering all the time when at work or on independent projects. If I have not done something before I will often look at public projects that either perform similar tasks or have one feature that I want to implement to figure out how to do it. I feel exploring the code on my own is the most effective way to learn new things.,x,x,slight,~,I may have completed it faster but I feel I was on a way to complete it.,Maybe not at all. I probably would have started with authentication or the pyftpd.py file given that it is the name of the program.,,I just wish I left more time to complete it before this survey was due.
9,GB,y,y,y,y,"- I am sometimes slightly familiar with the material but most of the times these topics and material are new to me - The guidance was comprehensive and detailed. - The activities were mostly completed as homework on my own time - It was definitely an effective way and a very good investment of the time. - Yes, it helped improve the understanding of the topic - it helped ,understand the topic from a technical perspective on ""How It's Done"" but not ""Why it is done"" ",1,none,"I honestly found the challenge and the instructions coming with it very open-ended which is very challenging to complete in the short time we had. Because i am born in May i had to use the additional notes notes_1.md, which has very few guidance. I spent two hours learning about pyFTPd , the commands , going through the function, however the instructions i was provided (note1.md) did not help me much to make any progress.",3,n,4,I was not familiar with reverse engineering before this activity,x,x,slight,y,"more guidance and most importantly more structured, sequential and clear guidance would have definitely helped.",I already feel the existing guidance i had in notes_1.md was not enough to complete the CTF or learn from it,I would not make it that open-ended. I would give step-by-step instructions and have the student follow them to learn down the road.,"The topic is definitely something that i like. The first two set of instructions are definitely poor, and i am sure whoever solved the challenge had used notes_2.md (or peaked into it)"
4,GB,y,y,y,y,I  participated in hands on activities for COMPSCI 561. - I was not at all familiar with the material. - Complete and step by step guidance was given. - Activity was completed as an assignment at home. - This activity was the perfect use of my time. - It helped improve my understanding.,1,Yes,"I started looking at the sourcecode. I dounf the auth_db_config.py file that had a latest commit. I found the hashed value there. I also so the auth_db_module.py file next to it. I saw that they are using  string.strip(binascii.b2a_base64(m.digest())). I looked it up and decoded the base64 using binascii.a2b_base64(hash). I was stuck here as it did not seem to work. Then I tried to replicate it on my ow and realised that the hash has ""\n"" appended to it. Once I had the md5, I converted it to hex and used an online decoder. I got the password for admin: reverseengineering. Next, I connected to the server using FTP. A lot went wrong here. Nothing seemed to work. Instead I decided to use netcat to connect to the FTP port. This worked better. I could now understand and apply the commands. I tried using the PORT command but it kept telling me that my dataport sucks big time, not sure what I am doing wrong over here. Then I read up and found the PASV command that gave me the dataport as 40001. I set up a jump server to this port and then used netcat to connect. This worked. I did this with the LIST command and RETR command separately to receive the flag.",,n,5,I have no experience at all,x,x,slight,y,It would definitely help as there was way too much to figure out over here.,I would be lost completely and would have given up long ago.,,
12,GB,n,n,n,n,Very familiar. There was enough guidance given. On my own time. Yes it was an effective way. Yes it helped my understanding of the topic further.,1,got pw,"Go through the notes and follow the reverse engg flow.  Once the password was found, tried to decrypt it. First took a test string and used the workflow followed by the python code and tried to encrypt the test string in python using the same flow to understand it better. To decrypt it followed the flow in reverse. After the password was decrypted tried to see how to get the info from the ftp server. Logged in, listed and was able to return the flag from the server by using the command sheet. Had a little bit of trouble with pasv and how to interpret its return but was able to understand it after some quick googling.",3,"No, a hands on lab is always better for learning practical security concepts in my opinion",3,I was familiar with it in terms of understanding code bases and while doing debugging of various codebases encountered in my previous work ex and college projects and open source contribution.,x,x,My understanding has definitely improved on how to read the relevant sections of code to figure out what is vulnerable.,n,"I think the guidance was more than sufficient, anything more would have impacted the learning experience",I think I would have still been able to find it but it would have taken more time.,"According to me there was more guidance given than needed. I wanted to be able to go through the codebase myself, but maybe just be given the starting file but be able to do the reverse engg process myself.",Liked the overall flow of reverse engg. Disliked that the password was maybe too easily found? would have been better if we had figured out a way that calling a function in a certain way with some parameters would have lead to finding the password
5,GB,n,n,n,n,"Yes I believe more than half of courses will have hands-on assignments as homework which either makes up the knowledge not covered in the lecture or level up your understanding of taught knowledge. I build some personal project from online material to learn computer science topics and programming and web developemnt. For learning cybersecurity topics, this course cs561 has a lot of hands on experiments as homework which is really helpful. I am not familiar with cybersecurity at all before I took this course. I get around 60% percent guidence from the lecture and textbook and 40% from online search result. It was in my own time as an assignment/homework. Yes, I do. Becasue this course meet once a week so the lecture time is quite limited. Yes it did. It improve my understanding ver much.",2,none,"At first I will google the idea of reverse engineering and its application, basic concept and examples. Then I checked the hint according to my birth month. However, I get stuck at the beginning as I cannot connect to the ftp server based on the hint so I can not move forward.",3,y,4,I have no knowledge of reverse engineering at all before. ,x,x,None,y,Yes it will be great if more guidence can be provided.,"I think the hint is not very helpful and since I did not make it, I still can not make it if I have less guidence. So no impact.",Yes I think they are too challenging for people with no background of cybersecurity so it aim not for everyone. It would be great if more introduction and tutorial about how to move forward even if get stuck at some point are provided.,I like it because it provide different hint for different people so I believe there would be more than one way to solve it. I did not check the other people’s hint but I am really curious about it. Very great design. However it is too difficult to me.
6,GB,y,y,y,y,"Experience - As part of COMPSCI 561, I got hands-on experience on system hacking concepts likes password cracking, arp/dns poisoning etc. Solving CTF challenges enhance the conceptual understanding of several topics like Buffer overflow, etc. My survey project was on privilege escalation where I did 2 small labs on exploiting sudo access and unquoted service path vulnerability. 1. I had basic networking and cryptography knowledge. But this is my first experience with system hacking course. I didn't know about any of the hacking techniques taught is class beforehand. 2. For this course COMPSCI 561, hands-on activities involved labs and CTFs. Labs were fully guided and we had reference text book to refer to the concepts and commands. Did not get much guidance on CTF challenges. 3. Activities were complete on my own time outside class. 4. I learned a lot from CTF challenges and lab. So it was worth the time. 5. Yes, this way of learning was long lasting. It definitely enhanced my understanding of the topic.",2,yes,"My birth month is January so I started with instruction set 0. Initially I assumed this challenge to be password cracking challenge and something to do with exploiting some vulnerability with mentioned ftp version. So I used metasploit to serach for exploits and tried ftp_login. I tried list of user names and passwords - unix_usernames and unix_passwords. But that did not work. Next I read through ftp commands from link given in URL, but most of them worked only after connecting to ftp server. So I gave up on that. I opened github repository and navigated some files but did not understand where to look exactly. So I gain started by search for exploits with ftp version. I finally opened other instruction sets to see if there is any additional information on this. Instruction set 2 paved the path for solving this challenge. It helped to navigate to right places in github repo. I searched in auth_db_config and auth_db_module. Reversed the hash of user admin using lines 7 to 12 in auth_db_config. Used python script for a2b_base64 and online md5 decrypt tool. After successful login, I was stuck for some time as I expected to directly access flag.txt. Tried random commands - ls, cat, pwd, cd etc. Finally using list command gave hint about trying PORT command. But that was confusing so I saw a youtube video on PASV, PORT. But still got stuck on what to do with this new port. Finally realized the client server setup tunneling and how server is sending response to client. Finally used list and retr to get the flag.",8-10,y,4,Not very familiar. I used some reverse engineering technique back in my work at Oracle. In my work experience looking at data I tried to reproduce the issue on internal pods. Data state revealed a lot about steps that customer would have performed.,x,x,great,y,"More guidance as in instruction set 2 actually made things fall in line, so learning was restricted in some sense. I just followed the instructions of navigating into the github repo. Learning was with regards to reversing had function and FTP commands.","That could have definitely enhanced the learning but also felt like stagnation. As there was no clue what was expected. May be reading more resources could have helped. But due to limited time, I did not prefer that way.",None except the instruction set fairness.,"I really liked the challenge as it enhance knowledge on reverse engineering, hashing, ftp commands, client server setup etc. I disliked the fact that instruction set 0 was not verbose to help navigate the code."
8,GB,y,y,y,y,Slightly familiar with material taught. A lot of instructions and steps were given to understand the topic and it helped in getting a deeper understanding,2,None,The thought process was to solve the problem step by step and reverse engineer and understand the vulnerabilites of FTP,2-3,n,3,Only knew about the basic concepts,x,x,slight,n,No impact,Less learning and more difficulty solving,Have more parts to the challenge to make it more interesting,Great way to learn about reverse engineering
7,GB,y,y,y,y,"Yes, I've used hands-on activities to learn cybersecurity topics in the subject System Defense and Test. I was not very familiar with the material being taught. The activity was an assignment which came with complete set of instructions that walked one through all steps involved in pen testing. Yes, the activity was definitely an effective way to utilize the time and also helped improve my understanding of the topic. ",2,Yes,"The instruction set asked me to look at the pyftpd.py file. On line 618 the program was importing different modules, based on which I checked the auth_db_config.py file which had the usernames and the password hashes as explained in the notes. To decode the hash, I first decoded the base64 and got the hex output which was the md5 hash. I decoded the hash and found the pass of admin (reverseengineering). I then used a nc to connect to the ftp server and logged in. Then I used the port function to setup the dataport and used this to list the files and eventually get the contents of flag.txt.",9,,4,,x,x,great,n,I feel the current set of instructions were sufficient and more guidance would have reduced my learning.,I feel the current set of instructions were apt and less guidance would have resulted in me spending more time and feeling more lost.,"No, I found the challenge to be the right level of instructive and challenging.",Reverse engineering is one of the most common type of attacks and having a challenge on it was very helpful.
